Cell;1S;2S;HorzPos;VertPos
11;0;0;0;0
116;0;0;0;0
193;0;1;0;0
194;0;0;0;0
246;1;0;0;0
260;0;0;0;0
320;0;0;0;0
323;0;0;0;0
343;0;0;0;0
351;0;0;0;0
364;0;0;0;0
367;0;0;0;0
378;0;0;0;0
409;0;0;0;1
414;0;0;0;0
418;0;0;0;0
421;0;0;0;0
457;0;0;0;0
483;0;0;0;0
487;0;0;0;0
495;0;0;0;0
497;0;0;0;0
518;0;0;0;0
530;0;0;0;0
554;0;0;0;0
559;0;0;0;0
577;0;0;0;0
596;0;0;0;0
601;0;0;0;0
607;0;0;0;0
613;0;0;0;0
617;0;0;0;0
641;0;0;0;0
642;0;0;0;0
666;0;0;0;0
675;0;0;0;0
678;0;0;0;0
717;0;0;0;0
732;0;0;0;0
733;0;0;0;0
744;0;0;0;0
764;0;0;0;0
767;0;0;0;0
769;0;0;0;0
787;0;0;0;0
797;0;0;0;0
810;0;0;0;0
816;0;0;0;0
830;0;0;0;0
840;0;0;0;0
851;0;0;0;0
854;0;0;0;0
856;0;0;0;0
858;0;0;0;0
860;0;0;0;0
862;0;0;0;0
863;0;0;0;0
874;0;0;0;0
895;0;0;0;0
899;0;0;0;0
905;0;0;0;0
918;0;0;0;0
921;0;0;0;0
933;0;0;0;0
934;0;0;0;0
935;0;0;0;0
964;0;0;0;0
969;0;0;0;0
972;0;0;0;0
976;0;0;0;0
981;0;0;0;0
1006;0;0;0;0
1010;0;0;0;0
1025;0;0;0;0
1037;0;0;0;0
1040;0;0;0;0
1056;0;0;0;0
1058;0;0;0;0
1066;0;0;0;0
1076;0;0;0;0
1087;0;0;0;0
1092;0;0;0;0
1108;0;0;0;0
1119;0;0;0;0
1124;0;0;0;0
1138;0;0;0;0
1208;0;0;0;0
1213;0;1;0;1
1249;0;1;0;0
1337;0;1;0;0
1401;0;0;0;0
1411;0;0;0;0
1412;0;1;0;0
1418;0;0;0;0
1438;0;1;0;0
1444;0;1;0;0
1458;0;0;0;0
1461;0;1;0;0
1470;0;1;0;0
1572;0;0;0;0
1594;0;1;0;0
1651;0;0;0;0
1708;0;0;0;0
1709;0;0;0;0
1710;0;0;0;0
1712;0;0;0;1
1713;0;0;0;0
1714;0;0;0;0
1716;0;0;0;0
1717;0;0;0;0
1718;0;0;0;1
1722;0;1;0;0
1724;0;0;0;0
1726;0;0;0;0
1727;0;0;0;0
1729;0;0;0;0
1741;0;0;0;0
1742;0;0;0;0
1743;0;0;0;0
1746;0;0;0;1
1754;0;0;0;0
1757;0;1;0;0
1758;0;1;0;0
1759;0;0;0;0
1760;0;0;0;0
1762;0;0;0;0
1763;0;0;0;0
1765;0;0;0;0
1767;0;0;0;0
1768;0;0;0;0
1770;0;0;0;0
1772;0;0;0;0
1775;0;0;0;0
1788;0;0;0;0
1790;0;0;0;0
1795;0;0;0;0
1808;0;0;0;1
1809;0;0;0;0
1813;0;0;0;0
1814;0;0;0;0
1820;0;0;0;0
1822;0;0;0;0
1823;0;0;0;0
1824;0;0;0;1
1825;0;0;0;0
1827;0;0;0;1
1832;0;0;0;0
1836;0;0;0;0
